timestamp,session_id,username,macro_name,layer,execution_time_ms,total_boxes,degradation_types,degradation_summary,status,application_start_time,total_active_time_ms,break_mode_active,break_start_time,total_executions,macro_executions_count,json_profile_executions_count,average_execution_time_ms,most_used_button,most_active_layer,recorded_total_boxes,degradation_breakdown_by_type_smudge,degradation_breakdown_by_type_glare,degradation_breakdown_by_type_splashes,macro_usage_execution_count,macro_usage_total_boxes,macro_usage_average_time_ms,macro_usage_last_used,json_severity_breakdown_by_level,json_degradation_type_breakdown,boxes_per_hour,executions_per_hour
2025-09-03 23:16:33,,,Num8,1,1172,3,glare,splashes,partial_blockage,glare,splashes,partial_blockage,completed,873486062,0,0,,1,1,0,1172,Num8,1,3,0,1,1,1,3,1172,2025-09-03 23:16:33,,glare,splashes,partial_blockage,3000.0,1000.0
2025-09-03 23:16:35,,,Num4,1,234,0,,,completed,873486062,0,0,,2,0,1,234,Num4,1,0,0,0,0,1,0,234,2025-09-03 23:16:35,high,,0.0,2000.0
2025-09-03 23:18:20,,,ShiftEnter,1,187,1,clear,No degradation present,submitted,873486062,90156,0,,2,1,0,187,ShiftEnter,1,1,0,0,0,1,1,187,2025-09-03 23:18:20,none,clear,39.9,79.9
2025-09-03 23:26:25,,,Num8,1,1172,3,glare,splashes,partial_blockage,glare,splashes,partial_blockage,completed,874072156,0,0,,2,1,0,1172,Num8,1,3,0,1,1,1,3,1172,2025-09-03 23:26:25,,glare,splashes,partial_blockage,3000.0,2000.0
2025-09-03 23:26:47,,,Num4,1,234,0,,,completed,874072156,30172,0,,2,0,1,234,Num4,1,0,0,0,0,1,0,234,2025-09-03 23:26:47,high,,0.0,238.6
2025-09-03 23:42:54,,,Num5,1,438,1,smudge,smudge,completed,875068796,0,0,,6,6,0,438,Num5,1,1,1,0,0,1,1,438,2025-09-03 23:42:54,,smudge,1000.0,6000.0
